publish_date,ticker,article_sentiment,average_market_sentiment,average_market_percent_change,RatingScore_pct_change,analyst_score_pct_change,target_median_price_pct_change,target_score,Yesterday_Percent_Change,Next_Day_Percent_Change,article_sentiment_class,average_market_sentiment_class
2025-01-16,AMZN,0.4982,0.2730486865693258,0.0055152033907319,0.0,0.0,0.0,10.03323452797988,-1.74,0.73,Bullish,Neutral
2025-01-21,AMZN,0.32898194444444445,0.26454880815577925,0.0092275252387577,0.0,-0.38999999999999996,0.0,8.716678975931165,0.73,,Neutral,Neutral
2024-12-22,ARBK,0.4722136363636364,,,,,,,,2.22,Bullish,Bearish
2024-12-30,ARBK,0.4191833333333333,0.23387265442810656,-0.0119543892514454,,,,,2.22,,Bullish,Neutral
2024-12-15,ASTS,0.1307166666666666,,,,,,,,4.29,Neutral,Bearish
2024-12-16,ASTS,0.0404214285714285,0.22783247980388266,0.0119634301644616,,,,,4.29,4.29,Neutral,Neutral
2024-12-22,ASTS,0.5128833333333332,0.23883768311150505,,0.0,,,,4.29,0.86,Bullish,Neutral
2024-12-24,ASTS,-0.30995,0.24192029288152125,0.014819785561153,0.0,,,,0.86,5.61,Bearish,Neutral
2024-12-26,ASTS,0.4056,0.27024043938534276,0.0065961535871062,0.0,0.0,0.0,49.253731343283576,5.61,5.61,Bullish,Neutral
2024-12-29,ASTS,-0.02607222222222225,0.2888993654214038,,0.0,0.0,0.0,49.253731343283576,5.61,-4.18,Neutral,Neutral
2025-01-01,ASTS,0.3641142857142857,0.22364559738871864,-0.0095293281977012,0.0,0.0,0.0,49.253731343283576,-4.18,-2.58,Neutral,Neutral
2025-01-06,ASTS,0.3153833333333333,0.18549743818760384,0.0221002380160894,0.0,0.0,0.0,49.25373134328358,-2.58,-5.23,Neutral,Neutral
2025-01-07,ASTS,0.09375,0.19405426126522585,-0.0187327601801066,0.0,0.0,0.0,56.52173913043478,-5.23,0.38,Neutral,Neutral
2025-01-08,ASTS,0.0625,0.16747027661557534,-0.0180455688098005,0.0,0.0,0.0,56.52173913043478,0.38,0.38,Neutral,Neutral
2025-01-12,ASTS,0.3142484848484848,0.2084099776817703,,0.0,0.0,0.0,56.52173913043478,0.38,-4.61,Neutral,Neutral
2025-01-14,ASTS,0.09889444444444444,0.219277162431734,0.0029832822112098,0.0,0.0,0.0,75.6781322774611,-4.61,10.53,Neutral,Neutral
2025-01-21,ASTS,0.480110606060606,0.1782554566608463,0.0092275252387577,0.0,0.0,0.0,57.96401930671348,10.53,,Bullish,Neutral
2024-12-11,AVGO,0.32047619047619047,,0.0189320473811481,,,,,1.7700000000000002,-0.15,Neutral,Bearish
2024-12-12,AVGO,0.16624022718215428,0.24994048657494605,-0.0018045275794627,200.0,,,,-0.15,5.2,Neutral,Neutral
2024-12-13,AVGO,0.2766415384492355,0.23223139006472132,0.0315663928399389,0.0,,,,5.2,5.2,Neutral,Neutral
2024-12-15,AVGO,0.35204873015873017,0.22908463284650576,,0.0,,,,5.2,7.86,Neutral,Neutral
2024-12-16,AVGO,0.35462220205647443,0.22783247980388266,0.0119634301644616,0.0,,,,7.86,-0.17,Neutral,Neutral
2024-12-17,AVGO,0.32607441378066376,0.20355994008951933,-0.0052532979039832,0.0,,,-2.848707255434178,-0.17,-0.17,Neutral,Neutral
2024-12-18,AVGO,0.3682213667285095,0.1798625788864245,-0.015814118169871,0.0,0.0,0.0,-3.378618084684572,-0.17,-4.24,Neutral,Neutral
2024-12-19,AVGO,0.2719685639880952,0.19318427002285338,-0.0279244836636686,0.0,0.0,0.0,-3.378618084684572,-4.24,-4.24,Neutral,Neutral
2024-12-22,AVGO,0.3677117917267917,0.22485024314144295,,0.0,0.0,0.0,-3.3786180846845726,-4.24,2.241904761904762,Neutral,Neutral
2024-12-23,AVGO,0.44183207676696135,0.24894639044724695,0.0185477476293828,0.0,0.0,0.0,-3.3786180846845717,2.241904761904762,-0.21,Bullish,Neutral
2024-12-24,AVGO,0.26524443056943053,0.2440603883017684,0.014819785561153,0.0,0.0,3.67,-1.1310610163342525,-0.21,-0.18,Neutral,Neutral
2024-12-25,AVGO,0.28019239518197847,0.24148621448363589,0.0129761562552765,0.0,0.0,0.0,0.1335113484646166,-0.18,2.23,Neutral,Neutral
2024-12-26,AVGO,0.3990016761016761,0.27469236313293593,0.0065961535871062,0.0,0.0,0.0,-1.2994835708441086,2.23,-1.17,Neutral,Neutral
2024-12-27,AVGO,0.49071666666666663,0.2759985286871322,-0.0124750321692228,0.0,0.0,0.0,-2.184545158134991,-1.17,-1.17,Bullish,Neutral
2024-12-29,AVGO,0.5774887728937729,0.2614513060738932,,0.0,0.0,0.0,-2.184545158134991,-1.17,0.38,Bullish,Neutral
2024-12-30,AVGO,0.3379444552669552,0.24764557831868902,-0.0119543892514454,0.0,0.0,0.0,-2.184545158134991,0.38,-1.57,Neutral,Neutral
2024-12-31,AVGO,0.3404,0.20664126526572693,-0.0101564092002462,0.0,0.0,0.0,-2.184545158134991,-1.57,-0.05,Neutral,Neutral
2025-01-06,AVGO,0.3019363636363636,0.19519967055408788,0.0221002380160894,0.0,0.0,0.0,-2.184545158134991,-0.05,2.51,Neutral,Neutral
2025-01-13,AVGO,0.32763333333333333,0.18625358099983755,-0.0103390149376735,0.0,0.0,2.26,8.924514714594018,2.51,-0.83,Neutral,Neutral
2025-01-14,AVGO,0.0,0.17053678110015075,0.0029832822112098,0.0,0.0,0.0,9.21895861148198,-0.83,-0.83,Neutral,Neutral
2025-01-19,AVGO,0.3093444444444444,0.207156228034627,,0.0,0.0,1.87,9.21895861148198,-0.83,0.26,Neutral,Neutral
2025-01-20,AVGO,0.0,0.20902464708031734,0.0161447326564081,0.0,0.0,0.0,9.21895861148198,0.26,-0.55,Neutral,Neutral
2025-01-21,AVGO,0.3329499999999999,0.18012387570653665,0.0092275252387577,0.0,0.0,0.0,4.3623460655395485,-0.55,,Neutral,Neutral
2024-12-11,BTC,0.04601500000000001,,0.0189320473811481,,,,,,,Neutral,Bearish
2024-12-12,BTC,0.16929972827692125,0.24994048657494605,-0.0018045275794627,,,,,,,Neutral,Neutral
2024-12-13,BTC,0.08655748299319728,0.23223139006472132,0.0315663928399389,,,,,,,Neutral,Neutral
2024-12-15,BTC,0.098606449013949,0.22908463284650576,,,,,,,,Neutral,Neutral
2024-12-16,BTC,0.20254620529272313,0.22783247980388266,0.0119634301644616,,,,,,,Neutral,Neutral
2024-12-17,BTC,0.2001002211556559,0.20355994008951936,-0.0052532979039832,,,,,,,Neutral,Neutral
2024-12-18,BTC,0.16322789661319073,0.17986257888642448,-0.015814118169871,,,,,,,Neutral,Neutral
2024-12-19,BTC,0.16584375,0.19318427002285335,-0.0279244836636686,,,,,,,Neutral,Neutral
2024-12-20,BTC,0.14482499999999995,0.1993963168050451,-0.0006742623106127,,,,,,,Neutral,Neutral
2024-12-22,BTC,0.1545151234567901,0.22135236869060193,,,,,,,,Neutral,Neutral
2024-12-23,BTC,0.12661482104729055,0.24894639044724692,0.0185477476293828,,,,,,,Neutral,Neutral
2024-12-24,BTC,0.11343260131510859,0.2440603883017684,0.014819785561153,,,,,,,Neutral,Neutral
2024-12-25,BTC,0.10811702020202017,0.24148621448363589,0.0129761562552765,,,,,,,Neutral,Neutral
2024-12-26,BTC,0.1796808288239538,0.27469236313293593,0.0065961535871062,,,,,,,Neutral,Neutral
