Date,Ticker,Close,Volume,High,Low,Open,Percent_Difference
2025-02-10,ZG,85.29000091552734,673600,85.88999938964844,84.52999877929688,85.13999938964844,
2025-02-11,ZG,83.83999633789062,1449200,86.58000183105469,83.0999984741211,84.9800033569336,-0.017000874218219646
2025-02-12,ZG,74.87000274658203,2404500,76.81999969482422,68.18000030517578,73.08000183105469,-0.10698943205051999
2025-02-10,AVGO,235.0399932861328,23901600,235.82000732421875,227.1199951171875,227.42999267578125,
2025-02-11,AVGO,235.0399932861328,18476200,237.88999938964844,229.97000122070312,232.47999572753906,0.0
2025-02-12,AVGO,236.35000610351562,16397300,236.47999572753906,230.0,230.36000061035156,0.005573574092933325
2025-02-10,SMCI,42.650001525878906,134627800,42.880001068115234,37.36000061035156,38.0,
2025-02-11,SMCI,38.61000061035156,153179100,42.38999938964844,38.41999816894531,40.59000015258789,-0.0947245198356201
2025-02-12,SMCI,39.68000030517578,161454200,43.88999938964844,38.86000061035156,42.29999923706055,0.027713019370876304
2025-02-10,GLW,53.04999923706055,3329000,53.599998474121094,52.650001525878906,53.33000183105469,
2025-02-11,GLW,52.400001525878906,3452700,52.9900016784668,52.0099983215332,52.88999938964844,-0.012252548926099786
2025-02-12,GLW,52.0099983215332,3228200,52.43000030517578,51.59000015258789,51.7599983215332,-0.007442809026505302
2025-02-10,HAL,25.979999542236328,6922800,26.1299991607666,25.5,25.549999237060547,
2025-02-11,HAL,26.489999771118164,10983000,26.760000228881836,26.049999237060547,26.1299991607666,0.019630494144263395
2025-02-12,HAL,25.969999313354492,7306300,26.530000686645508,25.93000030517578,26.18000030517578,-0.01963006652535438
2025-02-10,LMT,448.2200012207031,1427800,448.94000244140625,440.7099914550781,444.79998779296875,
2025-02-11,LMT,449.3599853515625,906100,451.79998779296875,445.0,447.8999938964844,0.0025433584573528387
2025-02-12,LMT,441.9700012207031,1282800,449.1400146484375,441.04998779296875,447.260009765625,-0.016445576757524876
2025-02-10,AMZN,233.13999938964844,35419900,233.9199981689453,229.1999969482422,230.5500030517578,
2025-02-11,AMZN,232.75999450683594,23713700,233.44000244140625,230.1300048828125,231.9199981689453,-0.0016299428832775938
2025-02-12,AMZN,228.92999267578125,32285200,231.17999267578125,228.16000366210938,230.4600067138672,-0.016454725560419294
2025-02-10,CRM,327.20001220703125,5981900,331.75,326.6499938964844,327.9200134277344,
2025-02-11,CRM,324.3999938964844,5455900,326.44000244140625,321.260009765625,324.0199890136719,-0.008557512854783154
2025-02-12,CRM,326.1199951171875,5643400,327.0,316.9700012207031,319.54998779296875,0.005302100040273044
2025-02-10,NOW,1021.8099975585938,1174900,1033.0999755859375,1011.25,1017.5499877929688,
2025-02-11,NOW,1009.0499877929688,1016000,1021.3699951171875,1003.9400024414062,1015.0,-0.01248765406104113
2025-02-12,NOW,982.4000244140625,1677600,998.4199829101562,980.0,996.25,-0.02641094465220304
2025-02-10,CHTR,343.7300109863281,866900,351.8699951171875,342.5299987792969,351.8699951171875,
